Date,District,Cases
5/21/2020,Narayanganj,84
5/21/2020,Narsingdi,0
5/21/2020,Natore,6
5/21/2020,Netrokona,54
5/21/2020,Nilphamari,9
5/21/2020,Noakhali,81
5/21/2020,Pabna,1
5/21/2020,Panchagarh,10
5/21/2020,Patuakhali,1
5/21/2020,Pirojpur,0
5/21/2020,Rajbari,0
5/21/2020,Rajshahi,9
5/21/2020,Rangamati,3
5/21/2020,Rangpur,44
5/21/2020,Satkhira,3
5/21/2020,Shariatpur,0
5/21/2020,Sherpur,1
5/21/2020,Sirajganj,0
5/21/2020,Sunamganj,7
5/21/2020,Sylhet,0
5/21/2020,Tangail,1
5/21/2020,Thakurgaon,7
5/20/2020,Bagerhat,0
5/20/2020,Bandarban,1
